og	min	avg	sd	max
K00648	21.28440366972477	88.06391185416246	8.93641508713957	99.9388379204893
K00677	17.906336088154273	66.93765830129466	9.454763590254137	99.72451790633609
K00681	39.8359161349134	61.56999143259892	9.064689933006914	98.72379216043757
K00684	21.641791044776117	76.65620109172806	5.823946857421164	98.88059701492537
K00688	42.97148574287144	71.01933145479806	11.823601403037543	99.59979989994997
K00695	54.463276836158194	67.72804749593028	8.878812395302097	97.6271186440678
K00720	35.44474393530997	59.94970016372438	11.417017155930626	97.16981132075472
K00721	32.74111675126904	90.068815411866	3.7094493548206495	99.96827411167513
K00728	54.09705648369133	75.93645283382753	6.7850266162826784	97.9315831344471
K00748	52.17028380634391	75.95918422549948	8.530982007144981	99.6661101836394
K00757	26.101694915254235	67.2909604519774	15.90493630677351	97.28813559322033
K00761	30.952380952380953	63.75363686724857	15.330321965886364	99.65986394557824
K00763	58.98778359511343	72.13137384529264	4.5121620514597245	95.28795811518324
K00764	22.861150070126225	59.171100229402896	20.65244990176146	99.71949509116409
K00768	43.38235294117647	69.99751618760492	8.451426092322473	99.8529411764706
K00772	31.01449275362319	67.53237213008616	13.661874557252462	99.71014492753623
K00784	37.82559456398641	77.95903246942025	10.626114045286377	100
K00786	33.214285714285715	71.00736351888426	14.598326414790467	98.45238095238096
K00789	17.227722772277232	74.08432620450374	11.357380835883925	99.00990099009901
K00790	28.877887788778878	67.14012402987532	8.177751908530759	97.85478547854785
K00791	40.34416826003824	71.70925543797209	7.752122493237246	97.51434034416826
K00793	47.67441860465116	67.37485318299272	7.196718228261202	99.12790697674419
K00794	27.038626609442062	68.31139251264182	8.478680053228171	100
K00809	31.082529474812436	85.35706124130562	10.727841831874699	99.03536977491962
K00812	9.807355516637472	84.68828256706549	6.499077517168218	100
K00819	8.563899868247693	70.54765860058866	22.499849522439842	99.2094861660079
K00820	12.571428571428566	82.98412698412699	8.415774546088713	98.92857142857143
K00821	43.472584856396864	77.95393325233307	7.708990180179665	99.34725848563968
K00823	25	80.46099962135554	11.379221036021864	97.48201438848922
K00833	14.910536779324058	55.9376396569703	15.838135914351803	98.80715705765407
K00835	30.113636363636363	78.52292723616253	7.470234128034695	98.86363636363636
K00845	16.182572614107883	85.4135488048755	7.228503042012145	99.8221695317131
K00854	38.242009132420094	64.797250933181	12.402842495334289	99.5433789954338
K00855	15.416028586013276	90.83985139691664	5.494013101359072	100
K00858	34.41108545034643	59.75154249692984	15.330332780873084	100
K00864	20.287539936102238	62.75201057618156	11.88920154173368	98.40255591054313
K00872	45.297504798464495	71.9692997209965	7.392363041347727	99.23224568138195
K00912	37.66756032171582	65.4564678693365	8.275699818783455	98.12332439678283
K00925	16.57940663176265	62.02862785582376	15.081418505581848	98.60383944153578
K00931	26.008064516129036	63.31163298391702	15.348656005356023	100
